"baker","series","episode","signature_bake","show_stopper","baker_age","baker_occupation","hometown","technical","result"
"John",3,10,"Italian Sausage and Roasted Vegetable Pithivier","Heaven and Hell Chiffon Cake",22,"Law student","Wigan","2","WINNER"
"Ali",4,1,"Rose and Pistachio Cake","Chocolate, Raspberry and Passion Fruit Engagement Cake",25,"Charity worker","Saltley, Birmingham","11","IN"
"Beca",4,1,"Grapefruit Sandwich Cake","Chocolate Cherry Indulgence",31,"Military Wives' Choir Singer","Aldershot, Hampshire","8","IN"
"Christine",4,1,"Strawberry, Vanilla and Rosewater Summer Basket","Chocolate and Orange 'Fripperous' Hat Cake",66,"Director of an engraving company","Didcot, Oxfordshire","3","IN"
"Deborah",4,1,"Pineapple Cake","'Coffee Time'",51,"Dentist","Peterborough","9","IN"
"Frances",4,1,"Giant Jam Sandwich","Secret Squirrel Cake",31,"Children's Clothes Designer","Market Harborough, Leicestershire","7","IN"
"Glenn",4,1,"Strawberries and Cream Cake","Almond and Espresso Chocolate Cake",37,"English Teacher","Teignmouth, Devon","4","IN"
"Howard",4,1,"Passion Fruit and Coconut Cake","Black Forest Revisited",51,"Council Worker","Sheffield","6","IN"
"Kimberley",4,1,"Blood Orange Cake","Chocolate, Raspberry & Basil Layer Cake",30,"Psychologist","London","10","IN"
"Lucy",4,1,"Timperley Early Cake","Thyme 'Wildwood' Cake",38,"Horticulturist","Grimsby, Lincolnshire","2","IN"
"Mark",4,1,"Lemon and Poppy Seed Cake","Chocolate Monster",37,"Carpenter and Kitchen Fitter","Milton Keynes","5","IN"
"Robert",4,1,"Pecan and Apple Cake","Raspberry Chocolate Cake",54,"Space Satellite Designer","Melbourn, Cambridgeshire","1","STAR BAKER"
"Ruby",4,1,"Rhubarb and Custard Sandwich Cake","Chocolate and Ginger Night Sky Cake",20,"History of Art and Philosophy Student","Southend, Essex","12","IN"
"Toby",4,1,"Spiced and Iced Carrot Cake","Two Tiered Chocolate Cake",30,"Web Programmer","Reading, Berkshire","13","OUT"
"Ali",4,2,"Italian Grissini","Sweet and Savoury Yin Yang Bread",25,"Charity worker","Saltley, Birmingham","9","IN"
"Beca",4,2,"Fennel and Chilli Breadsticks","Five Strand Christmas Wreath",31,"Military Wives' Choir Singer","Aldershot, Hampshire","11","IN"
"Christine",4,2,"Mediterranean Breadsticks with Oregano","Double Plaited Loaf",66,"Director of an engraving company","Didcot, Oxfordshire","4","IN"
"Deborah",4,2,"Fennel & Chilli Breadsticks","Walnut Fleur Loaf",51,"Dentist","Peterborough","8","IN"
"Frances",4,2,"Giant Matchsticks","Sailor's Knot",31,"Children's Clothes Designer","Market Harborough, Leicestershire","2","IN"
"Glenn",4,2,"Rosemary and Parmesan Grissini","Harvest Crown",37,"English Teacher","Teignmouth, Devon","7","IN"
"Howard",4,2,"Moroccan Breadsticks","Picasso Sun Bread",51,"Council Worker","Sheffield","10","IN"
"Kimberley",4,2,"Nigella Seed and Parmesan Breadsticks","Peace Bread",30,"Psychologist","London","1","IN"
"Lucy",4,2,"Grissini with Salt","Roast Tomato Bread",38,"Horticulturist","Grimsby, Lincolnshire","12","OUT"
"Mark",4,2,"Rosemary & Raisin Breadsticks","Sage & Garlic Plait",37,"Carpenter and Kitchen Fitter","Milton Keynes","6","IN"
"Robert",4,2,"Twisty Rye Bread Sticks","Tribute Loaf",54,"Space Satellite Designer","Melbourn, Cambridgeshire","5","IN"
"Ruby",4,2,"Mexican Breadsticks","White Chocolate and Orange Peacock Bread",20,"History of Art and Philosophy Student","Southend, Essex","3","STAR BAKER"
"Ali",4,3,"Coconut, Raspberry and Lemon Meringue Trifle","Vanilla Latte Mini CakesLime & Mint Shortbread Pops",25,"Charity worker","Saltley, Birmingham","5","IN"
"Beca",4,3,"Orange and Ginger Trifle","Limoncello and Blueberry BurstsMillionaire Shortbread",31,"Military Wives' Choir Singer","Aldershot, Hampshire","10","IN"
"Christine",4,3,"Caribbean Pina Colada Trifle","Ninety-NinersSachertorte Parcels",66,"Director of an engraving company","Didcot, Oxfordshire","4","STAR BAKER"
"Deborah",4,3,"Tropical Trifle*","Canelé Cherry and Chocolate CakesRose Cookies",51,"Dentist","Peterborough","9","OUT"
"Frances",4,3,"Apple and Blackberry Crumble Trifle","'Ballet Bites' Ginger NutcrackersSugar Plum Fairy Cakes",31,"Children's Clothes Designer","Market Harborough, Leicestershire","8","IN"
"Glenn",4,3,"Raspberry and Almond Trifle","Billionaire BouchéesOrange Financiers",37,"English Teacher","Teignmouth, Devon","1","IN"
"Howard",4,3,"Caramel and Apple Trifle*","Black Coffee and Cardamom CakesWhite Stilton and Pear Biscuits",51,"Council Worker","Sheffield","7","IN"
"Kimberley",4,3,"Peach, Almond and Ginger Trifle","Chocolate Pistachio FinanciersLemon Bergamot Biscuits",30,"Psychologist","London","6","IN"
"Mark",4,3,"Ginger, Mango and Passion Fruit Trifle","Rose and Pistachio MacaroonsChocolate and Raspberry Bites",37,"Carpenter and Kitchen Fitter","Milton Keynes","11","OUT"
"Robert",4,3,"Rhubarb and Orange Trifle","Almond FriandsTurǫn Macaroons",54,"Space Satellite Designer","Melbourn, Cambridgeshire","2","IN"
"Ruby",4,3,"Desert Island Trifle","Lemon Shortbread and White Chocolate SeashellsBlackberry and Chocolate Layer Cakes",20,"History of Art and Philosophy Student","Southend, Essex","3","IN"
"Ali",4,4,"Apple and Ginger Pie with a Pecan and Walnut Shortcrust Pastry","Orange, Cardamom and Date M'Hanncha",25,"Charity worker","Saltley, Birmingham","8","OUT"
"Beca",4,4,"Mamgu's Cherry-Apple Tart","Moroccan Vegetable Filo Feast",31,"Military Wives' Choir Singer","Aldershot, Hampshire","2","IN"
"Christine",4,4,"Granny Rogers' Apple, Plum & Cinnamon Country Pie","Roasted Vegetable Filo Pie with Feta Cheese",66,"Director of an engraving company","Didcot, Oxfordshire","7","IN"
"Frances",4,4,"Peach Pie In the Sky","Cherry Tree Baklava Filo Pie",31,"Children's Clothes Designer","Market Harborough, Leicestershire","1","IN"
"Glenn",4,4,"Apple & Maple Syrup Pie","Spanakopita (Walnut and Feta Cheese)",37,"English Teacher","Teignmouth, Devon","9","IN"
"Howard",4,4,"Apple Pie with Sage Pastry","Fresh Fig and Feta Filo Flan",51,"Council Worker","Sheffield","5","IN"
"Kimberley",4,4,"Pecan and Rosemary Caramel Apple Pie","Chicken, Bacon and Butternut Squash Pie",30,"Psychologist","London","4","STAR BAKER"
"Robert",4,4,"Apple and Pear Pie with Thyme","Spanakopita with St George's Mushrooms",54,"Space Satellite Designer","Melbourn, Cambridgeshire","3","IN"
"Ruby",4,4,"Apple and Marzipan Pie","Rose, Almond and Raspberry Filo Pie",20,"History of Art and Philosophy Student","Southend, Essex","6","IN"
"Beca",4,5,"Chocolate, Cherry and Hazelnut Brownies","Tiered Macaron and Sugar Dough Biscuit Centrepiece",31,"Military Wives' Choir Singer","Aldershot, Hampshire","5","IN"
"Christine",4,5,"Mixed Berry and Almond Crumble Traybake","Shortbread Bavarian Clock Tower",66,"Director of an engraving company","Didcot, Oxfordshire","1","STAR BAKER"
"Frances",4,5,"Millionaire Banoffee Bonus","Biscuit Buttons and Beads",31,"Children's Clothes Designer","Market Harborough, Leicestershire","3","IN"
"Glenn",4,5,"Apricot and Pistachio Tiffin","Shortbread and Macaron Helter-Skelter",37,"English Teacher","Teignmouth, Devon","2","IN"
"Howard",4,5,"Breakfast Traybake","Japanese Pagoda Tea Tower",51,"Council Worker","Sheffield","8","IN"
"Kimberley",4,5,"Cherry and Almond Bakewell Florentine Slice","Black and White Viennese Biscuit Stack",30,"Psychologist","London","7","IN"
"Robert",4,5,"Blueberry & Orange Traybake","Dalek",54,"Space Satellite Designer","Melbourn, Cambridgeshire","4","OUT"
"Ruby",4,5,"Blackberry and Lemon Bakewell Slice","'Dropped Ice-Cream' Biscuit Centrepiece",20,"History of Art and Philosophy Student","Southend, Essex","6","IN"
"Beca",4,6,"Bara Brith","Chocolate and Rum-Soaked Prune BriochesCardamom Spiced Lemon Iced Buns",31,"Military Wives' Choir Singer","Aldershot, Hampshire","6","IN"
"Christine",4,6,"Oxford Nutty Fruit Loaf","Schnecken BunsVanilla Custard Skolebrød",66,"Director of an engraving company","Didcot, Oxfordshire","4","IN"
"Frances",4,6,"Chai Tea Loaf","Hot Cross BriochesRhubarb and Custard Kolaches",31,"Children's Clothes Designer","Market Harborough, Leicestershire","2","IN"
"Glenn",4,6,"Devonshire Panettone","Almond and Apricot BriochesSticky Caramel Kanelbullen",37,"English Teacher","Teignmouth, Devon","5","IN"
"Howard",4,6,"Date & Hemp Yorkshire Loaf","Peachy BunsGerman Baumschnecken",51,"Council Worker","Sheffield","7","OUT"
"Kimberley",4,6,"Chai Spiced Ginger and Date Tea Loaf","Double Chocolate and Hazelnut BriochesDanish Kanelsnurrer",30,"Psychologist","London","3","IN"
"Ruby",4,6,"Citrus Tea Loaf","Twisted Swedish KanelbullarSaffron St. Lucia Buns",20,"History of Art and Philosophy Student","Southend, Essex","1","STAR BAKER"
"Beca",4,7,"Spring Lamb and Vegetable Suet Puddingwith Redcurrant Gravy","Nectarine and Frangipane SquaresChocolate and Hazelnut Vol-au-ventsStrawberries and Cream Mille-feuille",31,"Military Wives' Choir Singer","Aldershot, Hampshire","1","IN"
"Christine",4,7,"Spotted Dick 'With a Kick'and Vanilla Custard Ice Cream","Eccles CakesFresh Fruit BasketsLemon Cream Eton Mess Mille-feuille",66,"Director of an engraving company","Didcot, Oxfordshire","6","IN"
"Frances",4,7,"Figgy Roll-y Poly Puddingwith Caramelised Walnut and Honey Ice-Cream","French Framboise Cream HornsSheet Music Mille-feuilleBass Clef Palmiers",31,"Children's Clothes Designer","Market Harborough, Leicestershire","5","STAR BAKER"
"Glenn",4,7,"Prune and Armagnac Puddingwith Boozy Butterscotch Sauce","Caramelised Apple and Marzipan TartletsChocolate Elephant EarsPassion Fruit Mille-feuille",37,"English Teacher","Teignmouth, Devon","3","OUT"
"Kimberley",4,7,"Barberry and Apple Spotted Dickwith Maple Syrup and White Chocolate Custard","Pear, Malt and Butterscotch Mille-feuilleBlackberry and Lemon Verbena Crème Brûle Custard TartsFig, Orange and Thyme Galette",30,"Psychologist","London","4","IN"
"Ruby",4,7,"Plum Jam Roly-Polywith Ginger Ice cream","Raspberry and Passion Fruit Mille-feuilleCaramelised Apple LatticePortuguese Custard Tarts",20,"History of Art and Philosophy Student","Southend, Essex","2","IN"
"Beca",4,8,"Potato, Spelt and Rosemary Focaccia","Spiced Butternut Squash and Pecan 'Cheese' Cake",31,"Military Wives' Choir Singer","Aldershot, Hampshire","4","IN"
"Christine",4,8,"Multi-Seeded Loaf with Pumpkin, Sesame and Sunflower Seeds","Sweet Potato Guitar with Passion Fruit Icing and Marshmallow Fondant",66,"Director of an engraving company","Didcot, Oxfordshire","5","OUT"
"Frances",4,8,"'Chelsea Flour Show' Bun Bouquet","Hidden Carrot Cake (Ground Praline, Beetroot and Walnut)",31,"Children's Clothes Designer","Market Harborough, Leicestershire","3","IN"
"Kimberley",4,8,"Wild Garlic Pesto and Parma Ham Spelt Loaf","Butternut Squash and Spice Cake Toadstool House",30,"Psychologist","London","2","IN"
"Ruby",4,8,"Mango and Nigella Seed Spelt Cob","Carrot Cake and Pistachio Garden Plot",20,"History of Art and Philosophy Student","Southend, Essex","1","STAR BAKER"
"Beca",4,9,"Stilton and Walnut MacaronsBeetroot and Salmon Choux PuffsWelsh Rarebit Tartlets","Banoffee Opera Cake",31,"Military Wives' Choir Singer","Aldershot, Hampshire","3","OUT"
"Frances",4,9,"Legume Canapés:
Chantenay CarrotsChoux Pastry TomatoesCauliflower Cheese Scones","Great British Soap Opera Cake",31,"Children's Clothes Designer","Market Harborough, Leicestershire","2","IN"
"Kimberley",4,9,"Pea Purée TartsCrab and Wasabi ProfiterolesSteamed Buns with Barbecue Chicken","Passion Fruit and Lime Opera Cake",30,"Psychologist","London","1","STAR BAKER"
"Ruby",4,9,"Beetroot Jelly on Poppy Seed BiscuitsSpinach, Parmesan and Egg TartletsChoux Buns with Goat's Cheese and Caramelised Onions","Chocolate, Almond Praline and Saffron Opera Cake",20,"History of Art and Philosophy Student","Southend, Essex","4","IN"
"Frances",4,10,"Rainbow Picnic Pie","Midsummer Night's Dream Wedding Cake",31,"Children's Clothes Designer","Market Harborough, Leicestershire","3","WINNER"
"Kimberley",4,10,"Chicken and Pig Pie","Languages of Love Wedding Cake",30,"Psychologist","London","1","Runner-up"
"Ruby",4,10,"Picnic Basket Pie","Raspberry, Lemon and Passion Fruit Wedding Cake",20,"History of Art and Philosophy Student","Southend, Essex","2","Runner-up"
"Chetna",5,1,"Cardamom, Pistachio and Coffee Swiss Roll","Tiered Victoria Sponges with Lemon Curd and Raspberry Cream",35,"Fashion Designer","Broadstairs, Kent","3","IN"
"Claire",5,1,"Chocolatey Orangey Swirly Roll","Mini Chocolate and Cherry Cakes",31,"Speech Therapist","Ashton upon Mersey, Trafford","8","OUT"
"Diana",5,1,"Mum's Sunday Tea Lemon Curd Swiss Roll","Chocolate Ganache Surprises",69,"Women's Institute (WI) Judge","Alkington, Shropshire","5","IN"
"Enwezor",5,1,"Raspberry and Lemon Swiss Roll","Coffee and Walnut Battenberg Squares",39,"Business Consultant","Portsmouth, Hampshire","9","IN"
"Iain",5,1,"Apricot and Basil Swiss Roll with Mascarpone and White Chocolate Cream","Lemon Drizzle Cakes with Mascarpone Filling, Drizzled Icing, and Candied Lemon",31,"Construction Engineer","London/Belfast","4","IN"
"Jordan",5,1,"Kawaii Frasier Swiss Roll","Lemon Drizzle Cakes with Blueberry and Lemon Curd",32,"IT Manager","Sneinton, Nottingham","12","IN"
"Kate",5,1,"Red Velvet and White Chocolate Swiss Roll","Mini Tiered Victoria Sponges",41,"Furniture Restorer","Brighton, East Sussex","6","IN"
"Luis",5,1,"Spanish Swiss Roll","Raspberry and Lemon Genoise Slices with Lemon Drizzles",42,"Graphic Designer","Poynton, Cheshire","7","IN"
"Martha",5,1,"Tiramisu Swiss Roll","Mini Lemon and Thyme Drizzle Cakes",17,"Student","Ascot, Berkshire","2","IN"
"Nancy",5,1,"Coffee and Hazelnut Swiss Roll","Jaffa Orange Cakes",60,"Retired Practice Manager","Barton-upon-Humber, Lincolnshire","1","STAR BAKER"
"Norman",5,1,"Black Forest Swiss Roll","Almond and Raspberry Mini Cakes",66,"Retired Naval Officer","Portknockie, Moray","11","IN"
"Richard",5,1,"Pistachio and Strawberry Swiss Roll","Miniature Coffee & Walnut Cakes",38,"Builder","Mill Hill, London","10","IN"
"Chetna",5,2,"Fenugreek and Carom Crackers","Day On The Beach",35,"Fashion Designer","Broadstairs, Kent","8","IN"
"Diana",5,2,"Parmesan Triangles","Express, First Class",69,"Women's Institute (WI) Judge","Alkington, Shropshire","7","IN"
"Enwezor",5,2,"Pumpkin and Sunflower Savoury Biscuits","Space Adventure Moon Scene",39,"Business Consultant","Portsmouth, Hampshire","9","OUT"
"Iain",5,2,"Za'atar and Fig Biscuits","Wild West Scene",31,"Construction Engineer","London/Belfast","11","IN"
"Jordan",5,2,"Sourdough, Parmesan and Chilli Biscuits","Monster Attack",32,"IT Manager","Sneinton, Nottingham","6","IN"
"Kate",5,2,"Parmesan and Apple Biscuits","Tea Time",41,"Furniture Restorer","Brighton, East Sussex","4","IN"
"Luis",5,2,"Black Olive and Rosemary Biscuits with Caramelised Onion Glaze","George Versus The Dragon",42,"Graphic Designer","Poynton, Cheshire","3","IN"
"Martha",5,2,"Caramelised Onion and Goat's Cheese Sandwich Biscuits","Ski Village Scene",17,"Student","Ascot, Berkshire","5","IN"
"Nancy",5,2,"Fennel and Rye Thins","Hansel and Gretel Scene",60,"Retired Practice Manager","Barton-upon-Humber, Lincolnshire","2","IN"
"Norman",5,2,"Farthing Biscuits","Zulu Boats at Dawn",66,"Retired Naval Officer","Portknockie, Moray","10","IN"
"Richard",5,2,"Rosemary Seeded Crackers","Pirates!",38,"Builder","Mill Hill, London","1","STAR BAKER"
"Chetna",5,3,"Onion and Pine Nut Rolls","Rolled and Filled Twin Loaf",35,"Fashion Designer","Broadstairs, Kent","8","IN"
"Diana",5,3,"Rustic Picnic Rolls","Sharing Savoury Pinwheel",69,"Women's Institute (WI) Judge","Alkington, Shropshire","7","IN"
"Iain",5,3,"Cranberry and Walnut Rye Bread Rolls","Moroccan Plaited with a Bessara Dip",31,"Construction Engineer","London/Belfast","9","IN"
"Jordan",5,3,"Rye and Spelt Bread Rolls","Strawberry Raspberry Cheesecake Brioche",32,"IT Manager","Sneinton, Nottingham","10","OUT"
"Kate",5,3,"Orange and Cardamom Rye Bread Knots","Prosciutto, Olive and Coriander Bread",41,"Furniture Restorer","Brighton, East Sussex","1","IN"
"Luis",5,3,"Opposites Attract Rolls","Roscón de Reyes",42,"Graphic Designer","Poynton, Cheshire","2","STAR BAKER"
"Martha",5,3,"Date and Walnut Rye Rolls","Stuffed Sunflower Loaf",17,"Student","Ascot, Berkshire","3","IN"
"Nancy",5,3,"Cider and Walnut Crusty Rolls","'Full English' Stromboli",60,"Retired Practice Manager","Barton-upon-Humber, Lincolnshire","5","IN"
"Norman",5,3,"Rye Bread Rolls","Chicken and Roasted Vegetable Picnic Loaf",66,"Retired Naval Officer","Portknockie, Moray","4","IN"
"Richard",5,3,"Rye and Cranberry Rolls","Pesto Pinwheel",38,"Builder","Mill Hill, London","6","IN"
"Chetna",5,4,"Rhubarb, Strawberry and Orange Puddings","Mango, Raspberry and Coconut Baked Alaska",35,"Fashion Designer","Broadstairs, Kent","3","IN"
"Diana",5,4,"Orange and Lemon Curd Pots","Raspberry Ripple Alaska Swan",69,"Women's Institute (WI) Judge","Alkington, Shropshire","9","IN"
"Iain",5,4,"Chocolate, Lime and Raspberry Fondants","Chocolate, Black Sesame Seed and Coffee Caramel Baked Alaska (not presented)",31,"Construction Engineer","London/Belfast","6","OUT"
"Kate",5,4,"Chocolate and Salted Caramel Molten Puddings","Pistachio, Raspberry and Chocolate Baked Alaska",41,"Furniture Restorer","Brighton, East Sussex","7","IN"
"Luis",5,4,"Pears in Puddings","Bakewell Alaska",42,"Graphic Designer","Poynton, Cheshire","2","IN"
"Martha",5,4,"Peanut Butter Chocolate Fondants","Key Lime Baked Alaska",17,"Student","Ascot, Berkshire","1","IN"
"Nancy",5,4,"Pistachio Puddings with Chocolate Sauce","Summer Pudding Alaska",60,"Retired Practice Manager","Barton-upon-Humber, Lincolnshire","4","IN"
"Norman",5,4,"Mini Sticky Toffee Puddings","Baked Alaska with Strawberry Surprise",66,"Retired Naval Officer","Portknockie, Moray","8","IN"
"Richard",5,4,"Black Forest Chocolate Fondants","Tiramisu Baked Alaska",38,"Builder","Mill Hill, London","5","STAR BAKER"
"Chetna",5,5,"Rice Custard Tart with Mangoes and Raspberries","Fusion Tiered Pies",35,"Fashion Designer","Broadstairs, Kent","2","IN"
"Kate",5,5,"Rhubarb and Custard Tart","Rhubarb, Prune and Apple Pies",41,"Furniture Restorer","Brighton, East Sussex","3","STAR BAKER"
"Luis",5,5,"Tropical Manchester Tart","Four Fruity Seasons Tower",42,"Graphic Designer","Poynton, Cheshire","6","IN"
"Martha",5,5,"Pistachio, Apricot and Honey Custard Tart","Three Little Pigs Pie",17,"Student","Ascot, Berkshire","1","IN"
"Nancy",5,5,"Chocolate Crusted Passion Fruit Tart","Trio of Apple Pies",60,"Retired Practice Manager","Barton-upon-Humber, Lincolnshire","4","IN"
"Norman",5,5,"Tarte au Citron","Pieful Tower",66,"Retired Naval Officer","Portknockie, Moray","5","OUT"
"Richard",5,5,"Fig and Orange Tart","Three Course Autumn Pie Feast",38,"Builder","Mill Hill, London","7","IN"
"Chetna",5,6,"Orange Savarin with Cinnamon Cream","Almond Liqueur Dobos Torte with Chocolate Caramel Buttercream",35,"Fashion Designer","Broadstairs, Kent","2","STAR BAKER"
"Kate",5,6,"Pecan, Chocolate and Sour Cherry Yeast Cake","Trio of Dobos Tortes",41,"Furniture Restorer","Brighton, East Sussex","6","IN"
"Luis",5,6,"Apple and Cinnamon Kugelhopf with Honeyed Apples","The Cage on the Rocky Hill",42,"Graphic Designer","Poynton, Cheshire","3","IN"
"Martha",5,6,"Dark Chocolate and Almond Liqueur Savarin","Chess-Themed Chocolate and Salted Caramel Dobos Torte",17,"Student","Ascot, Berkshire","4","IN"
"Nancy",5,6,"Rum Punch Savarin with Coconut Cream and Tropical Fruits","Chocolate and Caramel Dobos Torte",60,"Retired Practice Manager","Barton-upon-Humber, Lincolnshire","1","IN"
"Richard",5,6,"Fruity Guglhupf with an Orange Glaze","Sugar Forest Dobos Torte",38,"Builder","Mill Hill, London","5","IN"
"Chetna",5,7,"Crispy Lentil Kachori","Chocolate and Mango & Lemon Meringue Éclairs",35,"Fashion Designer","Broadstairs, Kent","6","IN"
"Kate",5,7,"Spinach and Paneer Spicy Samosa","Neapolitan & Lemon Meringue Éclairs",41,"Furniture Restorer","Brighton, East Sussex","4","OUT"
"Luis",5,7,"Childhood Empanadas","Stars and Stripes Éclairs
(Blueberry Cheesecake & Peanut Butter and Jelly Éclairs)",42,"Graphic Designer","Poynton, Cheshire","5","IN"
"Martha",5,7,"Mini Beef Wellingtons","Rhubarb and Custard & Maple Syrup and Bacon Éclairs",17,"Student","Ascot, Berkshire","3","IN"
"Nancy",5,7,"Spicy Duck Pasties","Smoked Salmon and Horseradish & Raspberry Ripple Éclairs",60,"Retired Practice Manager","Barton-upon-Humber, Lincolnshire","2","IN"
"Richard",5,7,"Minted Lamb Pasties","Stair of Éclairs
(Lavender and Blueberry & Rose and Raspberry Éclairs)",38,"Builder","Mill Hill, London","1","STAR BAKER"
"Chetna",5,8,"Date and Walnut Swirl Bread","Chocolate Mousse Filled DoughnutsBraided Doughnuts",35,"Fashion Designer","Broadstairs, Kent","1","IN"
"Luis",5,8,"Black Forest Cherry Tree","Cocktail Doughnuts
(Mudslide & Raspberry Mojito)",42,"Graphic Designer","Poynton, Cheshire","2","IN"
"Martha",5,8,"Spiced Plum Iced Bread Swirl","Glazed Lemon & Poppy Seed DoughnutsChocolate & Passion Fruit Doughnuts",17,"Student","Ascot, Berkshire","5","OUT"
"Nancy",5,8,"Lincolnshire Plum Braid","Doughnut Family Tree
(Limoncello and Almond & Milk Chocolate and Orange)",60,"Retired Practice Manager","Barton-upon-Humber, Lincolnshire","3","IN"
"Richard",5,8,"Fruit Swedish Tea Ring","Rhubarb and Custard and Toffee Apple Doughnuts",38,"Builder","Mill Hill, London","4","STAR BAKER"
"Chetna",5,9,"Chocolate Orange Baklava Masala Chai Baklava","Chocolate, Orange & Nut EntremetsCappuccino Entremets",35,"Fashion Designer","Broadstairs, Kent","4","OUT"
"Luis",5,9,"Indian Rose BaklavaHalwa Baklava Rolls","Chocolate Mousse & Cherry EntremetsPomegranate, Fig & Pistachio Sponges",42,"Graphic Designer","Poynton, Cheshire","1","IN"
"Nancy",5,9,"Coffee and Chocolate BaklavaBreakfast Baklava","Raspberry NonnettesLime and Passion Fruit Entremets",60,"Retired Practice Manager","Barton-upon-Humber, Lincolnshire","3","IN"
"Richard",5,9,"Rose and Pistachio BaklavaWalnut and Almond Baklava","Hazelnut Mocha EntremetsPink Grapefruit Entremets",38,"Builder","Mill Hill, London","2","STAR BAKER"
"Luis",5,10,"Apple, Walnut, Raisin and Cheshire Cheese ChaussonsPain au Chocolat Blanc with Raspberries and Cream Cheese","Village in Chocolate",42,"Graphic Designer","Poynton, Cheshire","2","Runner-up"
"Nancy",5,10,"Apple and Lemon KitesRaspberry and Almond Croissants","Red Windmill",60,"Retired Practice Manager","Barton-upon-Humber, Lincolnshire","1","WINNER"
"Richard",5,10,"Pear Pain au ChocolatPain Au Lait","Mill on the Hill",38,"Builder","Mill Hill, London","3","Runner-up"
"Alvin",6,1,"Orange Vanilla and Fig Madeira Cake","Black Forest Gâteau",37,"Nurse","Bracknell, Berkshire","2","IN"
"Dorret",6,1,"Madeira Cake with Candied Lemons","Enchanted Forest Gâteau",53,"Accountant","Penwortham, Lancashire","5","IN"
"Flora",6,1,"Blood Orange Madeira Cake","Black Forest Gâteau",19,"Art gallery assistant","Dunkeld, Perth and Kinross","6","IN"
"Ian",6,1,"Somewhere West of Madeira Cake","Black Forest Cherry Tree",41,"Travel photographer","Great Wilbraham, Cambridgeshire","8","IN"
"Marie",6,1,"Zingy Citrus Madeira Cake","A Walk in the Black Forest",66,"Retired","Auchterarder, Perthshire","3","STAR BAKER"
"Mat",6,1,"Gin and Tonic Madeira Cake","Black Forest Gateau",37,"Fire fighter","London","7","IN"
"Nadiya",6,1,"Orange and Green Cardamom Madeira Cake","Quadruple Chocolate Black Forest Gâteau",30,"Full-time mother","Leeds / Luton","12","IN"
"Paul",6,1,"Lemon, Ginger and Caraway Seed Madeira Cake","Black Forest Chocolate Creation",49,"Prison governor","Swansea, Wales","10","IN"
"Sandy",6,1,"Madeira Cake with Almond Liqueur and Chopped Apricots","Black Forest Gâteau",49,"Child welfare officer","Yeadon, West Yorkshire","9","IN"
"Stu",6,1,"Marley Madeira Cake","Purple Forest Gâteau",35,"Professional musician","Guildford, Surrey","11","OUT"
"Tamal",6,1,"Pistachio and Rose Madeira Cake","Black Forest Gâteau in a Chocolate Shell",29,"Trainee anaesthetist","Manchester","4","IN"
"Ugnė",6,1,"Lemon and Thyme Madeira Cake","Falling Cup Gâteau",32,"PA and administrator","Woodford, London / Vilkaviškis, Lithuania","1","IN"
"Alvin",6,2,"Jackfruit, Pistachio and Macadamia Biscotti","Gingerbread Box filled with Brandy Snaps",37,"Nurse","Bracknell, Berkshire","6","IN"
"Dorret",6,2,"Almond and Apricot Biscotti with Amber Sugar Crystals","Box of Frogs",53,"Accountant","Penwortham, Lancashire","1","IN"
"Flora",6,2,"Wedding Biscotti","Honey and Earl Grey Tea Box",19,"Art gallery assistant","Dunkeld, Perth and Kinross","2","IN"
"Ian",6,2,"Orange, Rosemary and Almond Biscotti","Sandwich de la Confiture",41,"Travel photographer","Great Wilbraham, Cambridgeshire","3","STAR BAKER"
"Marie",6,2,"Biscotti Italiano","Russian Box",66,"Retired","Auchterarder, Perthshire","11","OUT"
"Mat",6,2,"Pistachio, Cranberry and White Chocolate Biscotti","Gingerbread Fire Engine",37,"Fire fighter","London","5","IN"
"Nadiya",6,2,"Coconut, Fennel and Pistachio Biscotti","Box of Fortunes",30,"Full-time mother","Leeds / Luton","9","IN"
"Paul",6,2,"Chocolate, Hazelnut and Fig Biscotti","Memory Box",49,"Prison governor","Swansea, Wales","10","IN"
"Sandy",6,2,"Chocolate Chunk and Hazelnut Biscotti","Sundried Tomato Cheese Biscuit Box",49,"Child welfare officer","Yeadon, West Yorkshire","4","IN"
"Tamal",6,2,"Cinnamon, Maple and Cranberry Biscotti","Chessboard Box",29,"Trainee anaesthetist","Manchester","8","IN"
"Ugnė",6,2,"White Wine Biscotti","Baby Climbing into the Cookie Box",32,"PA and administrator","Woodford, London / Vilkaviškis, Lithuania","7","IN"
"Alvin",6,3,"Prosciutto, Manchego and Balsamic Onion Soda Breads","Cornucopia",37,"Nurse","Bracknell, Berkshire","4","IN"
"Dorret",6,3,"Walnut and Stilton Soda Breads","Unmade Bread",53,"Accountant","Penwortham, Lancashire","6","OUT"
"Flora",6,3,"Fig and Hazelnut Rye Breads","Herb Couture",19,"Art gallery assistant","Dunkeld, Perth and Kinross","2","IN"
"Ian",6,3,"Wild Garlic Pesto Soda Breads","Flour Power",41,"Travel photographer","Great Wilbraham, Cambridgeshire","1","STAR BAKER"
"Mat",6,3,"Jalapeño, Mexican Cheddar and Smoked Salt Soda Breads","Curry Inspired Brighton Pavilion",37,"Fire fighter","London","8","IN"
